group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
HDV N-ZEV,T_HDV_T_FCHEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,h2,NONE,h2,zev,new
Existing_HDV,T_HDV_WTF_HFO_EX,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,hfo,NONE,ice,non-zev,Existing
HDV,T_HDV_WTF_HFO_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,hfo,NONE,ice,non-zev,new
HDV ICE,T_HDV_WTF_HFO_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,hfo,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_WTF_HFO_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,hfo,NONE,ice,non-zev,new
HDV,T_HDV_WTF_LNG_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,lng,NONE,ice,non-zev,new
HDV ICE,T_HDV_WTF_LNG_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,lng,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_WTF_LNG_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,lng,NONE,ice,non-zev,new
Existing_HDV,T_HDV_WTF_MDO_EX,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,mdo,NONE,ice,non-zev,Existing
HDV,T_HDV_WTF_MDO_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,mdo,NONE,ice,non-zev,new
HDV ICE,T_HDV_WTF_MDO_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,mdo,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_WTF_MDO_N,T_D_tkm_hdv_wt,Boats,tkm,btkm-year,mdo,NONE,ice,non-zev,new
Existing_LDV,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,Existing
LDV,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,Cars,pkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_C_CNG_N,T_D_pkm_ldv_c,Cars,pkm,k units,cng,NONE,ice,non-zev,new
LDV ICE,T_LDV_C_CNG_N,T_D_pkm_ldv_c,Cars,pkm,k units,cng,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_C_CNG_N,T_D_pkm_ldv_c,Cars,pkm,k units,cng,NONE,ice,non-zev,new
Existing_LDV,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,Cars,pkm,k units,dsl,NONE,ice,non-zev,Existing
LDV,T_LDV_C_DSL_N,T_D_pkm_ldv_c,Cars,pkm,k units,dsl,NONE,ice,non-zev,new
LDV ICE,T_LDV_C_DSL_N,T_D_pkm_ldv_c,Cars,pkm,k units,dsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_C_DSL_N,T_D_pkm_ldv_c,Cars,pkm,k units,dsl,NONE,ice,non-zev,new
LDV,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,Cars,pkm,k units,h2,NONE,h2,zev,new
LDV H2,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,Cars,pkm,k units,h2,NONE,h2,zev,new
LDV ZEV,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,Cars,pkm,k units,h2,NONE,h2,zev,new
Existing_LDV,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,NONE,ice,non-zev,Existing
Existing_LDV,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,hyb,non-zev,Existing
LDV,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,hyb,non-zev,new
LDV hyb,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,hyb,non-zev,new
LDV N-ZEV,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,hyb,non-zev,new
LDV,T_LDV_C_GSL_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,NONE,ice,non-zev,new
LDV ICE,T_LDV_C_GSL_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_C_GSL_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,NONE,ice,non-zev,new
Existing_LDV,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,Existing
LDV,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV PHEV,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV ZEV,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV PHEV,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,new
LDV ZEV,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,Cars,pkm,k units,gsl,elc,plug_in hyb,zev,new
