region,tech,vintage,lifetime,notes
AB,T_LDV_LTP_GSL_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV35_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV50_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV50_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV50_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV50_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV50_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTP_GSL_PHEV50_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_BEV_N,2025.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_BEV_N,2030.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_BEV_N,2035.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_BEV_N,2040.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_BEV_N,2045.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_BEV_N,2050.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_EX,2005.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_EX,2010.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_EX,2015.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_EX,2020.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_HEV_N,2025.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_HEV_N,2030.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_HEV_N,2035.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_HEV_N,2040.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_HEV_N,2045.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_HEV_N,2050.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_N,2025.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_N,2030.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_N,2035.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_N,2040.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_N,2045.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_N,2050.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_PHEV_N,2025.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_PHEV_N,2030.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_PHEV_N,2035.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_PHEV_N,2040.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_PHEV_N,2045.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_DSL_PHEV_N,2050.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCEV_N,2025.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCEV_N,2030.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCEV_N,2035.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCEV_N,2040.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCEV_N,2045.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCEV_N,2050.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCHEV_N,2025.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCHEV_N,2030.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCHEV_N,2035.0,42,(y) age when vehicles have 0% survival rate
AB,T_MDV_T_FCHEV_N,2040.0,42,(y) age when vehicles have 0% survival rate
