,scenario,region,sector,period,tech,vintage,capacity
1433,zulu,ON,transportation,2045,T_LDV_C_CNG_N,2040,0.0003565589866037923
1437,zulu,ON,transportation,2050,T_LDV_LTP_GSL_HEV_N,2050,2255.9352515331466
1445,zulu,ON,transportation,2035,T_LDV_C_BEV300_N,2030,0.0017135900735436222
1446,zulu,ON,transportation,2040,T_LDV_C_BEV150_N,2040,236.52289293061915
1454,zulu,ON,transportation,2040,T_LDV_LTP_BEV150_N,2040,0.0002721244071694528
1459,zulu,ON,transportation,2035,T_LDV_LTP_FCEV400_N,2025,0.0001532312664949973
1465,zulu,ON,transportation,2050,T_LDV_C_DSL_N,2040,0.00014064705036535355
1466,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV50_N,2040,0.0007655617016842035
1469,zulu,ON,transportation,2050,T_LDV_LTP_BEV300_N,2045,0.0032882731736998583
1472,zulu,ON,transportation,2050,T_LDV_LTP_DSL_N,2035,4.142883183675471e-05
1473,zulu,ON,transportation,2045,T_LDV_C_GSL_PHEV35_N,2045,0.0008688623274416342
1479,zulu,ON,transportation,2050,T_LDV_C_BEV200_N,2040,378.43662863547837
1487,zulu,ON,transportation,2050,T_LDV_LTP_GSL_HEV_N,2040,1984.8116678739302
1495,zulu,ON,transportation,2040,T_LDV_C_BEV150_N,2030,0.0004569662144505648
1501,zulu,ON,transportation,2040,T_LDV_LTP_BEV150_N,2030,0.00019574268273201754
1504,zulu,ON,transportation,2045,T_LDV_C_GSL_PHEV50_N,2040,0.0006220046295734444
1515,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV50_N,2030,0.0015881943230149555
1517,zulu,ON,transportation,2050,T_LDV_LTP_BEV300_N,2035,0.00034398753512968777
1520,zulu,ON,transportation,2045,T_LDV_C_GSL_PHEV35_N,2035,0.0009856359253832964
1525,zulu,ON,transportation,2040,T_LDV_LTP_BEV200_N,2035,0.0011466294035684076
1527,zulu,ON,transportation,2030,T_LDV_C_FCEV400_N,2030,0.0002893771160214797
1533,zulu,ON,transportation,2045,T_LDV_LTP_BEV200_N,2030,7.829491790687181e-05
1534,zulu,ON,transportation,2045,T_LDV_C_DSL_N,2035,0.00016012226875734126
1550,zulu,ON,transportation,2025,T_LDV_LTP_DSL_EX,2020,58.095394415
1552,zulu,ON,transportation,2030,T_LDV_LTP_DSL_N,2030,0.0001532743347821315
1571,zulu,ON,transportation,2050,T_LDV_LTP_FCEV400_N,2045,0.0023651903740549247
1573,zulu,ON,transportation,2030,T_LDV_C_GSL_PHEV50_N,2030,0.001009900651145524
1586,zulu,ON,transportation,2040,T_LDV_LTP_BEV200_N,2025,2.3839914307083508e-05
1599,zulu,ON,transportation,2035,T_LDV_LTP_BEV400_N,2025,0.00023837820116165895
1604,zulu,ON,transportation,2025,T_LDV_LTP_DSL_N,2025,0.00017007152253159305
1606,zulu,ON,transportation,2030,T_LDV_C_DSL_N,2025,0.0002831281540222464
1611,zulu,ON,transportation,2025,T_LDV_LTP_DSL_EX,2010,4.991963587200001
1624,zulu,ON,transportation,2025,T_LDV_C_GSL_N,2025,0.00028034082651381324
1634,zulu,ON,transportation,2050,T_LDV_LTP_FCEV400_N,2035,3.653821558151938e-05
1635,zulu,ON,transportation,2030,T_LDV_C_GSL_PHEV35_EX,2020,18.1938447808
1673,zulu,ON,transportation,2025,T_LDV_C_GSL_EX,2020,1658.203203455
1689,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV35_N,2035,59.223774685128255
1692,zulu,ON,transportation,2035,T_LDV_LTP_GSL_N,2035,0.00025584931690482014
1695,zulu,ON,transportation,2030,T_LDV_LTP_GSL_PHEV35_EX,2020,4.427121345
1701,zulu,ON,transportation,2040,T_LDV_LTP_CNG_N,2025,0.00018148184502905426
1717,zulu,ON,transportation,2045,T_LDV_C_BEV300_N,2040,709.5686786914905
1730,zulu,ON,transportation,2045,T_LDV_LTP_FCEV400_N,2030,0.00012097904200963764
1737,zulu,ON,transportation,2050,T_LDV_LTP_BEV400_N,2045,0.0043843624656112815
1739,zulu,ON,transportation,2030,T_LDV_LTP_FCEV400_N,2030,0.0006048952100481882
1755,zulu,ON,transportation,2035,T_LDV_LTP_GSL_N,2025,0.0002168461392712559
1763,zulu,ON,transportation,2025,T_LDV_LTP_GSL_EX,2020,1570.01071173
1778,zulu,ON,transportation,2030,T_LDV_C_BEV300_N,2025,0.0006001421746209145
1779,zulu,ON,transportation,2035,T_LDV_C_BEV200_N,2035,89.64158422410249
1787,zulu,ON,transportation,2025,T_LDV_C_DSL_EX,2015,32.117305888
1789,zulu,ON,transportation,2045,T_LDV_LTP_CNG_N,2045,0.00036085238715793315
1791,zulu,ON,transportation,2050,T_LDV_LTP_BEV400_N,2035,0.0004586473101449499
1793,zulu,ON,transportation,2035,T_LDV_C_GSL_N,2030,0.00021977696671381813
1794,zulu,ON,transportation,2035,T_LDV_LTP_GSL_HEV_N,2035,1907.7165525362868
1803,zulu,ON,transportation,2040,T_LDV_C_FCEV400_N,2035,0.0003272070449369305
1809,zulu,ON,transportation,2040,T_LDV_C_GSL_PHEV35_N,2040,0.001040929976912929
1810,zulu,ON,transportation,2035,T_LDV_C_BEV150_N,2035,44.820792113633395
1822,zulu,ON,transportation,2025,T_LDV_LTP_GSL_EX,2010,158.0788469276
1825,zulu,ON,transportation,2035,T_LDV_LTP_BEV300_N,2030,0.0005872076042042051
1834,zulu,ON,transportation,2035,T_LDV_C_BEV200_N,2025,0.0003200787275628959
1835,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV50_N,2035,0.0013871284691697233
1846,zulu,ON,transportation,2040,T_LDV_C_GSL_PHEV50_N,2035,0.0007896703144883452
1852,zulu,ON,transportation,2035,T_LDV_LTP_GSL_HEV_N,2025,0.0011161374012745747
1868,zulu,ON,transportation,2040,T_LDV_C_GSL_PHEV35_N,2030,0.022031603584694123
1872,zulu,ON,transportation,2035,T_LDV_C_BEV150_N,2025,0.00016004441675864683
1885,zulu,ON,transportation,2040,T_LDV_C_DSL_N,2030,0.00013241596365482573
1889,zulu,ON,transportation,2030,T_LDV_C_BEV400_N,2025,0.0008001858232430352
1900,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV50_N,2025,0.001079028347725674
1904,zulu,ON,transportation,2030,T_LDV_C_BEV150_EX,2020,29.7446342664
1918,zulu,ON,transportation,2050,T_LDV_C_GSL_N,2050,0.0002662148591279852
1924,zulu,ON,transportation,2025,T_LDV_C_GSL_PHEV50_N,2025,0.0007957052180708753
1940,zulu,ON,transportation,2025,T_LDV_LTP_BEV400_N,2025,0.00023837820116165895
1948,zulu,ON,transportation,2045,T_LDV_LTP_BEV150_N,2040,0.0002721244071694528
1951,zulu,ON,transportation,2045,T_LDV_C_FCEV400_N,2045,0.027070586683102933
1957,zulu,ON,transportation,2030,T_LDV_LTP_BEV300_EX,2015,0.014371178000000002
1963,zulu,ON,transportation,2025,T_LDV_LTP_BEV300_N,2025,0.00017878867788052714
1964,zulu,ON,transportation,2045,T_LDV_LTP_GSL_N,2040,0.00024342749064425184
1974,zulu,ON,transportation,2045,T_LDV_LTP_BEV200_N,2045,0.002192184007027707
1975,zulu,ON,transportation,2030,T_LDV_LTP_GSL_HEV_EX,2020,17.865808047
1978,zulu,ON,transportation,2050,T_LDV_C_GSL_N,2040,0.00025196390911398793
1980,zulu,ON,transportation,2025,T_LDV_C_GSL_PHEV35_EX,2015,2.1443354696
1993,zulu,ON,transportation,2050,T_LDV_C_GSL_HEV_N,2045,38.550115886350795
1998,zulu,ON,transportation,2050,T_LDV_C_BEV150_N,2045,202.78437967478686
2012,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV50_N,2045,0.0006231639559872333
2014,zulu,ON,transportation,2045,T_LDV_LTP_GSL_N,2030,4.599141520169021e-05
2021,zulu,ON,transportation,2045,T_LDV_C_DSL_N,2040,0.00017580881295669194
