region,tech,vintage,capacity
NB,T_MDV_T_DSL_EX,2015.0,6.74410979392587
NB,T_MDV_T_DSL_EX,2020.0,7.337120120989698
NB,T_MDV_T_GSL_EX,2005.0,2.7276
NB,T_MDV_T_GSL_EX,2010.0,3.3624
NB,T_MDV_T_GSL_EX,2015.0,4.18165626280097
NB,T_MDV_T_GSL_EX,2020.0,4.793426032892889
NLLAB,T_LDV_C_BEV150_EX,2010.0,0.10216309041472749
NLLAB,T_LDV_C_BEV150_EX,2015.0,0.662551849339519
NLLAB,T_LDV_C_BEV150_EX,2020.0,2.106152792944283
NLLAB,T_LDV_C_DSL_EX,2005.0,1.40634
NLLAB,T_LDV_C_DSL_EX,2010.0,2.146872776901554
NLLAB,T_LDV_C_DSL_EX,2015.0,0.3891429186925055
NLLAB,T_LDV_C_GSL_EX,2005.0,45.47166
NLLAB,T_LDV_C_GSL_EX,2010.0,69.24445574291828
NLLAB,T_LDV_C_GSL_EX,2015.0,46.659357384678984
NLLAB,T_LDV_C_GSL_EX,2020.0,23.391498565256928
NLLAB,T_LDV_C_GSL_HEV_EX,2010.0,1.277329092973068
NLLAB,T_LDV_C_GSL_HEV_EX,2015.0,1.0969951957746433
NLLAB,T_LDV_C_GSL_HEV_EX,2020.0,1.8913129170580771
NLLAB,T_LDV_C_GSL_PHEV35_EX,2010.0,0.09217929679237974
NLLAB,T_LDV_C_GSL_PHEV35_EX,2015.0,0.5309526515143485
NLLAB,T_LDV_C_GSL_PHEV35_EX,2020.0,0.21144839756293984
NLLAB,T_HDV_T_DSL_EX,2005.0,1.19
NLLAB,T_HDV_T_DSL_EX,2010.0,1.456
NLLAB,T_HDV_T_DSL_EX,2015.0,1.306
NLLAB,T_HDV_T_DSL_EX,2020.0,1.122
NLLAB,T_LDV_LTF_DSL_EX,2005.0,0.54024
NLLAB,T_LDV_LTF_DSL_EX,2010.0,1.1723016957857895
NLLAB,T_LDV_LTF_DSL_EX,2015.0,2.1804506730386235
NLLAB,T_LDV_LTF_DSL_EX,2020.0,2.8695419351376357
NLLAB,T_LDV_LTF_GSL_EX,2005.0,12.8307
NLLAB,T_LDV_LTF_GSL_EX,2010.0,20.480247246391496
NLLAB,T_LDV_LTF_GSL_EX,2015.0,23.536403001226148
NLLAB,T_LDV_LTF_GSL_EX,2020.0,18.62971446350525
NLLAB,T_LDV_LTF_GSL_HEV_EX,2010.0,0.004555647160763513
NLLAB,T_LDV_LTF_GSL_HEV_EX,2020.0,0.8379568754918556
NLLAB,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.039146325735230435
NLLAB,T_LDV_LTF_GSL_PHEV35_EX,2020.0,0.063772830395689
NLLAB,T_LDV_LTP_BEV300_EX,2010.0,0.001879320827686044
NLLAB,T_LDV_LTP_BEV300_EX,2015.0,0.1298311466627376
NLLAB,T_LDV_LTP_BEV300_EX,2020.0,2.5957982371242414
NLLAB,T_LDV_LTP_DSL_EX,2005.0,1.4413799999999999
NLLAB,T_LDV_LTP_DSL_EX,2010.0,2.9219334964551438
NLLAB,T_LDV_LTP_DSL_EX,2015.0,3.5165694483998964
NLLAB,T_LDV_LTP_DSL_EX,2020.0,3.230579942667365
NLLAB,T_LDV_LTP_GSL_EX,2005.0,45.643699999999995
NLLAB,T_LDV_LTP_GSL_EX,2010.0,74.69740801832666
NLLAB,T_LDV_LTP_GSL_EX,2015.0,88.63514666968433
