tech,flag,sector,category,sub_category,unlim_cap,annual,reserve,curtail,retire,flex,exchange,seas_stor,description,data_id
R_SPC_ROOM_AC-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space cooling - room air conditioner typical efficiency - new,RESHR001
R_SPH_ELEC_RAD-NEW,p,residential,,,0,1,0,0,0,0,0,0,space heating - electric radiator typical efficiency - new,RESHR001
R_SPH_NG_FRN-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space heating - natural gas furnace typical efficiency - new,RESHR001
R_SPH_WOOD-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space heating - wood stove typical efficiency - new,RESHR001
R_SPHC_AIR_HP-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space heating+space cooling - air-source heat pump typical efficiency - new,RESHR001
R_SPHC_GEO_HP-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space heating+space cooling - geo-exchange heat pump typical efficiency - new,RESHR001
R_SPHC_NG_HP-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space heating+space cooling - natural gas heat pump typical efficiency - new,RESHR001
R_WAH_ELEC-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,water heating - electric typical efficiency - new,RESHR001
R_WAH_HP-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,water heating - heat pump typical efficiency - new,RESHR001
R_WAH_NG-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,water heating - natural gas typical efficiency - new,RESHR001
R_WAH_SOLAR-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,water heating - solar typical efficiency - new,RESHR001
R_SPH_OIL-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - oil - existing,RESHR001
R_SPH_NG-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - natural gas - existing,RESHR001
R_SPH_ELEC-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - electric - existing,RESHR001
R_SPH_HP-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - heat pump - existing,RESHR001
R_SPH_OTH-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - other (LPG) - existing,RESHR001
R_SPH_WOOD-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - wood - existing,RESHR001
R_SPH_WOOD-ELC-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - dual wood-electric - existing,RESHR001
R_SPH_WOOD-OIL-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - dual wood-oil - existing,RESHR001
R_SPH_NG-ELC-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - dual natural gas-electric - existing,RESHR001
R_SPH_OIL-ELC-EXS,p,residential,,,0,1,0,0,0,0,0,0,space heating - dual oil-electric - existing,RESHR001
R_SPC_ROOM_AC-EXS,p,residential,,,0,1,0,0,0,0,0,0,space cooling - room air conditioning - existing,RESHR001
R_SPC_CENT_AC-EXS,p,residential,,,0,1,0,0,0,0,0,0,space cooling - central air conditioning - existing,RESHR001
R_WAH_ELC-EXS,p,residential,,,0,1,0,0,0,0,0,0,water heating - electric - existing,RESHR001
R_WAH_NG-EXS,p,residential,,,0,1,0,0,0,0,0,0,water heating - natural gas - existing,RESHR001
R_WAH_OIL-EXS,p,residential,,,0,1,0,0,0,0,0,0,water heating - oil - existing,RESHR001
R_WAH_LPG-EXS,p,residential,,,0,1,0,0,0,0,0,0,water heating - other (LPG) - existing,RESHR001
